area, url, browserDetection, cssprefixes, edge, jslibs, pluginfree
USA, http://mail.google.com, 1, 1, 0, 1, 1
USA, http://bing.com, 0, 1, 0, 1, 1
USA, http://baidu.com, 1, 1, 0, 1, 1
USA, http://biglobe.ne.jp, 1, 1, 0, 1, 1
USA, http://montiera.com, 1, 1, 0, 1, 1
USA, http://taleo.net, 1, 1, 0, 1, 1
USA, http://siteencore.com, 1, 1, 0, 1, 1
USA, http://filejo.com, 1, 1, 0, 1, 1
USA, http://bb.com.br, 1, 1, 0, 1, 1
USA, http://bancobrasil.com.br, 1, 1, 0, 1, 1
USA, http://wedisk.co.kr, 1, 1, 0, 1, 1
USA, http://lotteimall.com, 1, 1, 0, 1, 1
USA, http://peta.ameba.jp, 1, 1, 0, 1, 1
USA, http://post.japanpost.jp, 1, 1, 0, 1, 1
USA, http://oryte.com, 1, 1, 0, 1, 1
USA, http://filenori.com, 1, 1, 0, 1, 1
USA, http://work.go.kr, 0, 1, 1, 1, 1
USA, http://portal.cyberjapan.jp, 0, 1, 1, 1, 1
USA, http://bigfile.co.kr, 1, 1, 0, 1, 1
USA, http://youradexchange.com, 1, 1, 0, 1, 1
USA, http://kinghost.com, 1, 1, 0, 1, 1
USA, http://kbs.co.kr, 1, 1, 0, 1, 1
USA, http://file24.co.kr, 1, 1, 0, 1, 1
USA, http://minwon.go.kr, 0, 1, 0, 1, 1
USA, http://rantlifestyle.com, 0, 1, 0, 1, 1
USA, http://cn.bing.com, 0, 1, 0, 1, 1
USA, http://helpertrack.com, 1, 1, 1, 1, 1
USA, http://signin.ebay.de, 1, 1, 0, 1, 1
USA, http://11st.co.kr, 0, 1, 0, 1, 1
USA, http://cmsite.co.jp, 1, 1, 0, 1, 1
USA, http://webmail1c.orange.fr, 1, 1, 0, 1, 1
USA, http://webmail1f.orange.fr, 1, 1, 0, 1, 1
USA, http://theprimead.co.kr, 1, 1, 0, 1, 1
USA, http://webmail1m.orange.fr, 1, 1, 0, 1, 1
USA, http://webmail1j.orange.fr, 1, 1, 0, 1, 1
USA, http://nanos.jp, 1, 1, 0, 1, 1
USA, http://imgsrc.ru, 1, 1, 0, 1, 1
USA, http://literotica.com, 0, 1, 0, 1, 1
USA, http://webmail1d.orange.fr, 1, 1, 0, 1, 1
USA, http://webmail1e.orange.fr, 1, 1, 0, 1, 1
USA, http://kmcert.com, 1, 1, 0, 1, 1
USA, http://yesfile.com, 1, 1, 0, 1, 1
USA, http://webmail22.orange.fr, 1, 1, 0, 1, 1
USA, http://cjmall.com, 1, 1, 0, 1, 1
USA, http://webmail1g.orange.fr, 1, 1, 0, 1, 1
USA, http://webmail1h.orange.fr, 1, 1, 0, 1, 1
USA, http://webmail1p.orange.fr, 1, 1, 0, 1, 1
USA, http://bbc.co.uk, 1, 1, 1, 1, 1
USA, http://zozo.jp, 0, 0, 1, 1, 1
USA, http://certified-apps.com, 0, 0, 1, 1, 1
USA, http://money.msn.com.cn, 1, 1, 1, 1, 1
USA, http://infospace.com, 1, 0, 1, 1, 1
USA, http://ameblo.jp, 1, 1, 1, 1, 1
USA, http://jra.jp, 0, 0, 1, 0, 1
USA, http://toolbar.aol.com, 1, 1, 0, 1, 1
USA, http://friv.com, 1, 0, 0, 1, 1
USA, http://t.co, 1, 0, 1, 1, 1
USA, http://jmp9.com, 1, 1, 1, 1, 1
USA, http://interpark.com, 1, 1, 0, 1, 1
USA, http://jeu.info, 0, 1, 1, 1, 1
USA, http://ent.msn.com.cn, 0, 1, 1, 1, 1
USA, http://starfall.com, 1, 1, 1, 1, 1
USA, http://gnavi.co.jp, 0, 0, 1, 1, 1
USA, http://what-character-are-you.com, 0, 1, 1, 1, 1
USA, http://argos.co.uk, 0, 1, 1, 1, 1
USA, http://gayromeo.com, 1, 1, 1, 1, 1
USA, http://gsshop.com, 1, 1, 0, 1, 1
USA, http://gmarket.co.kr, 1, 1, 0, 1, 1
USA, http://ebs.co.kr, 0, 1, 0, 0, 1
USA, http://afreeca.com, 0, 0, 0, 1, 1
USA, http://seiga.nicovideo.jp, 0, 0, 1, 1, 1
USA, http://bitecharge.com, 0, 0, 1, 1, 1
USA, http://onclickads.net, 1, 1, 1, 1, 1
USA, http://mrga.service-navi.jp, 1, 0, 1, 0, 1
USA, http://planetromeo.com, 1, 1, 1, 1, 1
USA, http://vistaprint.com, 0, 1, 0, 1, 1
USA, http://2ch.net, 1, 1, 1, 1, 1
USA, http://certified-toolbar.com, 1, 1, 1, 0, 1
USA, http://microsofttranslator.com, 0, 1, 0, 1, 1
USA, http://potora.jp, 0, 0, 1, 0, 1
USA, http://directrev.com, 0, 0, 1, 0, 1
USA, http://instructure.com, 0, 0, 1, 0, 1
USA, http://fashion.msn.com.cn, 1, 0, 1, 1, 1
USA, http://toshibaplaces.jp, 0, 0, 1, 1, 1
USA, http://blog.livedoor.jp, 1, 1, 1, 0, 1
USA, http://tdisk.co.kr, 1, 1, 0, 0, 1
USA, http://momoshop.com.tw, 1, 1, 0, 1, 1
USA, http://linkeyproject.com, 1, 0, 1, 1, 1
USA, http://docs.google.com, 1, 1, 0, 1, 1
USA, http://mijn.ing.nl, 1, 1, 0, 1, 1
USA, http://drive.google.com, 1, 1, 1, 1, 1
USA, http://onedrive.live.com, 1, 1, 0, 1, 1
USA, http://novinky.cz, 0, 0, 1, 1, 1
USA, http://blog.ameba.jp, 1, 1, 1, 1, 1
USA, http://vegadisk.com, 0, 0, 1, 1, 1
USA, http://dropbooks.tv, 1, 0, 1, 1, 1
USA, http://cityheaven.net, 0, 0, 1, 1, 1
USA, http://eroprofile.com, 1, 0, 1, 0, 1
USA, http://bk.mufg.jp, 0, 0, 1, 0, 1
USA, http://fabswingers.com, 1, 0, 1, 1, 1
USA, http://default-search.net, 1, 1, 1, 1, 1
USA, http://profile.live.com, 1, 1, 0, 1, 1
USA, http://search.jword.jp, 1, 1, 0, 1, 1
USA, http://hiroba.dqx.jp, 0, 0, 1, 0, 1
USA, http://golfdigest.co.jp, 0, 0, 1, 1, 1
USA, http://milliyet.com.tr, 0, 0, 1, 1, 1
USA, http://fazenda.gov.br, 0, 0, 1, 0, 1
USA, http://comicvip.com, 0, 1, 0, 1, 1
USA, http://inicis.com, 0, 0, 0, 1, 1
USA, http://swagbucks.com, 0, 1, 1, 1, 1
USA, http://pmang.com, 0, 1, 0, 0, 0
USA, http://blogmura.com, 0, 0, 1, 1, 1
